# London Strategic Edge - Economic Calendar Data
# Source: londonstrategicedge.com/datasets

event_date,country,event,currency,previous,estimate,actual,change,change_percentage,impact,unit
2023-01-18 13:15:00+00:00,US,Industrial Production MoM (Dec),USD,-0.6000,-0.1000,-0.7000,-0.1000,-16.6670,Medium,%
2023-01-18 13:15:00+00:00,US,Industrial Production YoY (Dec),USD,2.2000,1.8000,1.6000,-0.6000,-27.2730,Medium,%
2023-01-18 13:15:00+00:00,US,Manufacturing Production MoM (Dec),USD,-1.1000,-0.3000,-1.3000,-0.2000,-18.1820,Low,%
2023-01-18 13:15:00+00:00,US,Manufacturing Production YoY (Dec),USD,0.7000,1.8000,-0.5000,-1.2000,-171.4290,Low,%
2023-01-18 13:30:00+00:00,US,Fed Bullard Speech,USD,,,,,,Medium,
2023-01-18 14:00:00+00:00,US,Business Inventories MoM (Nov),USD,0.2000,0.4000,0.4000,0.2000,100.0000,Medium,%
2023-01-18 14:00:00+00:00,US,NAHB Housing Market Index (Jan),USD,31.0000,31.0000,35.0000,4.0000,12.9030,Medium,
2023-01-18 14:00:00+00:00,US,Retail Inventories Ex Autos MoM (Nov),USD,-0.6000,-0.3000,-0.3000,0.3000,50.0000,Low,%
2023-01-18 15:30:00+00:00,US,17-Week Bill Auction,USD,4.6800,,4.6100,-0.0700,-1.4960,Low,%
2023-01-18 17:00:00+00:00,US,20-Year Bond Auction,USD,3.9350,,3.6780,-0.2570,-6.5310,Low,%
2023-01-18 18:00:00+00:00,US,Fed Beige Book,USD,,,,,,Medium,
2023-01-18 18:00:00+00:00,US,Fed Harker Speech,USD,,,,,,Medium,
2023-01-18 20:00:00+00:00,US,Foreign Bond Investment (Nov),USD,61.9000,,54.2000,-7.7000,-12.4390,Low,B
2023-01-18 20:00:00+00:00,US,Net Long-Term TIC Flows (Nov),USD,67.8000,,171.5000,103.7000,152.9500,Medium,B
2023-01-18 20:00:00+00:00,US,Overall Net Capital Flows (Nov),USD,179.3000,,213.1000,33.8000,18.8510,Low,B
2023-01-18 20:30:00+00:00,US,API Crude Oil Stock Change (Jan/13),USD,14.8650,-1.7500,7.6150,-7.2500,-48.7720,Low,M
2023-01-18 21:00:00+00:00,US,Fed Logan Speech,USD,,,,,,Medium,
2023-01-19 12:30:00+00:00,US,Building Permits (Dec),USD,1.3510,1.3700,1.3300,-0.0210,-1.5540,High,M
2023-01-19 12:30:00+00:00,US,Continuing Jobless Claims (Jan/07),USD,1630.0000,1660.0000,1647.0000,17.0000,1.0430,Medium,K
2023-01-19 12:30:00+00:00,US,Housing Starts (Dec),USD,1.4010,1.3590,1.3820,-0.0190,-1.3560,Low,M
2023-01-19 12:30:00+00:00,US,Housing Starts MoM (Dec),USD,-1.8000,-1.9000,-1.4000,0.4000,22.2220,Medium,%
2023-01-19 12:30:00+00:00,US,Initial Jobless Claims (Jan/14),USD,205.0000,214.0000,190.0000,-15.0000,-7.3170,Medium,K
2023-01-19 12:30:00+00:00,US,Jobless Claims 4-Week Average (Jan/14),USD,212.5000,210.0000,206.0000,-6.5000,-3.0590,Low,K
2023-01-19 12:30:00+00:00,US,Philadelphia Fed Manufacturing Index (Jan),USD,-13.7000,-11.0000,-8.9000,4.8000,35.0360,Medium,
2023-01-19 12:30:00+00:00,US,Philly Fed Business Conditions (Jan),USD,-0.9000,3.5000,4.9000,5.8000,644.4440,Low,
2023-01-19 12:30:00+00:00,US,Philly Fed CAPEX Index (Jan),USD,16.2000,15.0000,10.5000,-5.7000,-35.1850,Low,
2023-01-19 12:30:00+00:00,US,Philly Fed Employment (Jan),USD,-0.9000,3.0000,10.9000,11.8000,1311.1110,Low,
2023-01-19 12:30:00+00:00,US,Philly Fed New Orders (Jan),USD,-22.3000,-23.0000,-10.9000,11.4000,51.1210,Low,
2023-01-19 12:30:00+00:00,US,Philly Fed Prices Paid (Jan),USD,36.3000,24.0000,24.5000,-11.8000,-32.5070,Low,
2023-01-19 13:00:00+00:00,US,Fed Collins Speech,USD,,,,,,Medium,
2023-01-19 14:30:00+00:00,US,EIA Natural Gas Stocks Change (Jan/13),USD,,,,,,Low,B
2023-01-19 15:00:00+00:00,US,EIA Crude Oil Imports Change (Jan/13),USD,2.7080,,-1.2240,-3.9320,-145.1990,Low,M
2023-01-19 15:00:00+00:00,US,EIA Crude Oil Stocks Change (Jan/13),USD,18.9620,-0.5930,8.4080,-10.5540,-55.6590,Low,M
2023-01-19 15:00:00+00:00,US,EIA Cushing Crude Oil Stocks Change (Jan/13),USD,2.5110,,3.6460,1.1350,45.2010,Low,M
2023-01-19 15:00:00+00:00,US,EIA Distillate Fuel Production Change (Jan/13),USD,0.5090,,0.0570,-0.4520,-88.8020,Low,M
2023-01-19 15:00:00+00:00,US,EIA Distillate Stocks Change (Jan/13),USD,-1.0690,0.1220,-1.9390,-0.8700,-81.3840,Low,M
2023-01-19 15:00:00+00:00,US,EIA Gasoline Production Change (Jan/13),USD,0.0670,,0.3320,0.2650,395.5220,Low,M
2023-01-19 15:00:00+00:00,US,EIA Gasoline Stocks Change (Jan/13),USD,4.1140,2.5290,3.4830,-0.6310,-15.3380,Low,M
2023-01-19 15:00:00+00:00,US,EIA Heating Oil Stocks Change (Jan/13),USD,0.4050,,-0.2600,-0.6650,-164.1980,Low,M
2023-01-19 15:00:00+00:00,US,EIA Refinery Crude Runs Change (Jan/13),USD,0.8310,,0.2020,-0.6290,-75.6920,Low,M
2023-01-19 15:30:00+00:00,US,4-Week Bill Auction,USD,4.3700,,4.4800,0.1100,2.5170,Low,%
2023-01-19 15:30:00+00:00,US,8-Week Bill Auction,USD,4.4650,,4.5200,0.0550,1.2320,Low,%
2023-01-19 17:00:00+00:00,US,10-Year TIPS Auction,USD,1.4850,,1.2200,-0.2650,-17.8450,Low,%
2023-01-19 17:15:00+00:00,US,Fed Brainard Speech,USD,,,,,,Medium,
2023-01-19 22:35:00+00:00,US,Fed Williams Speech,USD,,,,,,Medium,
2023-01-20 13:00:00+00:00,US,Fed Harker Speech,USD,,,,,,Medium,
2023-01-20 14:00:00+00:00,US,Existing Home Sales (Dec),USD,4.0800,3.9600,4.0200,-0.0600,-1.4710,Low,M
2023-01-20 14:00:00+00:00,US,Existing Home Sales MoM,USD,-7.9000,-2.0000,-1.5000,6.4000,81.0130,Medium,%
2023-01-20 17:00:00+00:00,US,Baker Hughes Oil Rig Count (Jan/20),USD,623.0000,,613.0000,-10.0000,-1.6050,Low,
2023-01-20 17:00:00+00:00,US,Fed Waller Speech,USD,,,,,,Medium,
2023-01-23 14:00:00+00:00,US,Leading Index MoM (Dec),USD,-1.1000,-0.7000,-0.8000,0.3000,27.2730,Medium,%
2023-01-23 15:30:00+00:00,US,3-Month Bill Auction,USD,4.5600,,4.5750,0.0150,0.3290,Low,%
2023-01-23 15:30:00+00:00,US,6-Month Bill Auction,USD,4.6850,,4.6850,,,Low,%
2023-01-24 12:55:00+00:00,US,Redbook YoY (Jan/21),USD,5.0000,,4.6000,-0.4000,-8.0000,Low,%
2023-01-24 13:45:00+00:00,US,S&P Global Composite PMI (Jan),USD,45.0000,45.1000,46.6000,1.6000,3.5560,Medium,
2023-01-24 13:45:00+00:00,US,S&P Global Manufacturing PMI (Jan),USD,46.2000,46.0000,46.8000,0.6000,1.2990,Medium,
2023-01-24 13:45:00+00:00,US,S&P Global Services PMI (Jan),USD,44.7000,45.0000,46.6000,1.9000,4.2510,Medium,
2023-01-24 14:00:00+00:00,US,Richmond Fed Manufacturing Index (Jan),USD,1.0000,-5.0000,-11.0000,-12.0000,-1200.0000,Low,
2023-01-24 14:00:00+00:00,US,Richmond Fed Manufacturing Shipments Index (Jan),USD,5.0000,7.0000,-3.0000,-8.0000,-160.0000,Low,
2023-01-24 14:00:00+00:00,US,Richmond Fed Services Index (Jan),USD,-12.0000,-8.0000,-6.0000,6.0000,50.0000,Low,
2023-01-24 15:30:00+00:00,US,52-Week Bill Auction,USD,4.5150,,4.4700,-0.0450,-0.9970,Low,%
2023-01-24 17:00:00+00:00,US,2-Year Note Auction,USD,4.3730,,4.1390,-0.2340,-5.3510,Low,%
